Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Bethune Patera,Venus,94.00,46.50,321.30,"Patera, paterae",1991,Mary; American educator (1875-1955).
Bette,Venus,7.20,-24.60,347.90,"Crater, craters",1994,German first name (form of Elizabeth).
Beyla Corona,Venus,400.00,26.50,15.50,"Corona, coronae",1991,Norse earth goddess.
Bezlea Dorsa,Venus,807.00,30.40,36.50,"Dorsum, dorsa",1985,Lithuanian evening light goddess.
Bhumidevi Corona,Venus,150.00,-17.20,343.60,"Corona, coronae",1994,Hindu earth goddess.
Bhumiya Corona,Venus,100.00,15.00,118.00,"Corona, coronae",1994,Hindu earth goddess.
Bibi-Patma Corona,Venus,450.00,-47.00,302.00,"Corona, coronae",1997,Turkman goddess of women.
Bickerdyke,Venus,36.30,-82.00,171.30,"Crater, craters",1994,Mary; American Civil War nurse (1817-1901).
Bil Corona,Venus,225.00,3.00,168.00,"Corona, coronae",2003,Norse-Viking Earth and nature goddess.
Biliku Dorsa,Venus,600.00,-47.00,138.00,"Dorsum, dorsa",1997,Andaman Isl. monsoon deity.
Bineta,Venus,10.70,57.30,144.10,"Crater, craters",1997,"Mandingo (W. Africa, Mali) first name."
Birute,Venus,22.30,36.10,32.00,"Crater, craters",1991,Lithuanian first name.
Blackburne,Venus,30.50,11.00,183.90,"Crater, craters",1994,Anna; English biologist (1726-1793).
Blai Corona,Venus,125.00,-0.40,134.50,"Corona, coronae",1994,Celtic fertility goddess.
Blanche,Venus,12.30,-9.30,157.00,"Crater, craters",2000,French first name.
Blathnat Corona,Venus,300.00,35.00,293.80,"Corona, coronae",1994,Celtic fertility goddess.
Blid Corona,Venus,175.00,-0.50,231.30,"Corona, coronae",2003,"Scandinavian Earth, nature, and happiness goddess."
Blixen,Venus,20.80,-60.10,145.70,"Crater, craters",1991,Karen; Danish author (1885-1962).
Bly,Venus,18.70,37.70,305.50,"Crater, craters",1994,Nellie; American journalist (1867-1922).
Boadicea Paterae,Venus,220.00,56.60,96.50,"Patera, paterae",1991,(Boudicca); queen and heroine of Iceni (English Celtic tribe) (d. A.D. 62).
Boala Corona,Venus,220.00,-70.00,359.00,"Corona, coronae",1997,"Mongo-Nkundo (Bantu group, Zaire) the first woman, ancestor of people."
Boann Corona,Venus,300.00,27.00,136.50,"Corona, coronae",1994,Irish fertility goddess.
Boivin,Venus,20.40,4.30,299.50,"Crater, craters",1994,Marie; French medical researcher (1773-1847).
Boleyn,Venus,70.40,24.40,220.10,"Crater, craters",1994,Ann; English queen (1507-1536).
Bolotnitsa Fluctus,Venus,1100.00,50.00,160.00,"Fluctus, fluctūs",1997,E. Slavic swamp mermaid.
Bona Corona,Venus,275.00,-24.00,157.50,"Corona, coronae",1994,Roman virgin/fertility goddess.
